"id","name","description_title","description","category","spec","width","max_width","height","weight","capacity","clay","glaze","notes","in_stock","coloring","shop_url","instagram_url","completion_date","update_date","valid"
"28","瑪瑙晶","玉サボテン様練り込みコーヒーカップ「瑪瑙晶」","　「瑪瑙環」と同じく、白土と黒土を練り込んで成形したコーヒーカップです。ただし本作では、カップの外側に玉サボテンをモチーフとした六角形のふくらみを彫り込みました。削ったことで、思いがけない模様が現れました。まるで「日」という字を重ねたような模様です。漢字にすると「晶」でしょうか？
　そこで、このカップに「瑪瑙晶（めのうしょう）」という銘を付けました。","coffee_cup","直径：約8.0cm (取っ手を除く)、約11.0cm (取っ手を含む)
高さ：約7.5cm
容量：約140cc (8割注水時)
重さ：205g",NULL,NULL,NULL,NULL,NULL,"白土、赤土","透明釉",,"1","monotone","https://minne.com/items/42867065","https://www.instagram.com/p/DBloiY6TeVs/","2024-11-03","2025-10-20 09:12:31","1"
"29","瑪瑙墨","玉サボテン様練り込みコーヒーカップ「瑪瑙墨」","　練り込みとしのぎの技法を組み合わせたコーヒーカップです。
　白土と黒土を重ねて成形した素地に、六角形の模様を一つひとつ彫り込んでいます。それぞれの六角形はゆるやかに膨らんでおり、削りの深さによって模様に揺らぎが生まれています。
　カップの内側には「黒天目」という艶やかな黒の釉薬を掛けました。この黒が外側の模様を際立たせ、カップ全体の印象を引き締めています。
　練り込みによって現れた縞模様が瑪瑙石を思わせ、内側の黒が墨のように見えることから「瑪瑙墨」という銘にしました。","coffee_cup","直径：約7.5cm (取っ手を除く)、約10.5cm (取っ手を含む)
高さ：約8.0cm
容量：約140cc (8割注水時)
重さ：208g",NULL,NULL,NULL,NULL,NULL,"白土、黒土","外側：透明釉
内側：黒天目",,"1","monotone","https://minne.com/items/42995131","https://www.instagram.com/p/DDCmiIWTxhw/","2024-11-10","2025-10-20 09:36:15","1"
"30","雪墨嶺","サボテン金剛丸様練り込み中鉢「雪墨嶺」","　玉サボテンをモチーフに、側面いっぱいにピラミッド型の模様を彫り込みました。
　白と黒の粘土の練り込みにより生み出された等高線のような縞模様が特長の中鉢です。
　ひと山ひと山、手作業で彫り込んだ模様が山並みのように連なります。
　その姿から、「雪墨嶺（せつぼくれい）」という銘を付けました。","medium_bowl","直径：約13.0cm
高さ：約7.4cm
容量：約400cc (8割注水時)
重さ：378g",NULL,NULL,NULL,NULL,NULL,"白土、黒土","透明釉",,"1","monotone","https://minne.com/items/42603879","https://www.instagram.com/p/DCMMFmITHmg/","2024-11-17","2025-10-20 09:24:04","1"
"33","風洞実験","ハウォルチア様練り込みコーヒーカップ「風洞実験」","　白土と黒土を練り込んで生まれた縞模様の素地に、ハオルチアの葉を思わせる上向きの三角形模様を彫り込んだコーヒーカップです。
　彫りの部分では縞模様が不連続になり、模様の中にゆらぎや乱れが生まれています。とくにカップ上部では、その線がまるで風洞実験の気流が乱れる瞬間のように見えます。
　この様から、銘を「風洞実験」としました。
　静と動が共存するような、不思議な景色となっています。																														","coffee_cup","直径：約9.0cm (取っ手を除く)、約11.5cm (取っ手を含む)
高さ：約8.0cm
容量：約170cc (8割注水時)
重さ：245g																														","9.0","11.5","8.0","245","170","白土、黒土																														","外側：透明釉
内側：黒天目																														","																														","1","monotone",,,"2024-12-21","2025-10-23 15:12:58","1"
"34","牡蠣の群生","ねじり金剛丸様練り込みデミタスカップ「牡蠣の群生」","　練り込みとしのぎの技法を組み合わせたデミタスカップです。
　白土と黒土を使った練り込みの素地に、ピラミッド型の模様を削りだしたのですが、正方形ではなく、長方形を傾けた形で削ってみました。ピラミッドの高さにより等高線のように白と黒の縞模様があらわれ、おもしろい見た目になりましたが、1つ1つの模様が牡蠣が並んでいるように見えたので、銘は「牡蠣の群生」としました。
　サイズはやや小さめです。												","demitasse_cup","直径：約7.0cm (取っ手を除く)、約10.0cm (取っ手を含む)
高さ：約7.4cm
容量：約100cc (8割注水時)
重さ：176g												",NULL,NULL,NULL,NULL,NULL,"白土、黒土												","外側：透明釉
内側：黒天目												","												","1","monotone",,"https://www.instagram.com/p/DEBaWpezQ3z/","2024-12-08","2025-10-24 10:23:51","1"
"35","土のリズム","柱サボテン様練り込みコーヒーカップ「土のリズム」","　柱サボテンの縦に並ぶ陵（りょう）からインスピレーションを得たコーヒーカップです。
　白土と赤土を使った「練り込み」の技法で独特の模様を生み出し、さらに「しのぎ」の技法で柱サボテンのような立体感を表現しました。
　内側には「うのふ」という白い釉薬、外側は透明釉を掛けています。カップの口縁には2つの釉薬が混ざり合い、波紋のような模様が生まれています。
　側面の模様が地層のように見え、それが等間隔に柱状に並ぶので「土のリズム」と名付けました。","coffee_cup","直径：約9.5cm (取っ手を除く)、12cm (取っ手込み)
高さ：約5.3cm
容量：約140cc (8割注水時)
重さ：205g",NULL,NULL,NULL,NULL,NULL,"白土、赤土","外側：透明釉
内側：うのふ",,"0","monotone",NULL,"https://www.instagram.com/p/DFcBXgUzu5l/","2024-12-15","2025-10-20 09:47:27","1"
"36","大地の鼓動","玉サボテン様練り込みコーヒーカップ「大地の鼓動」","　白土をベースに、赤土と黒土を練り込んだ独特の模様が特徴のカップです。玉サボテンからインスピレーションを得て、側面にはゆるやかに膨らんだ六角形の模様を彫り込み、高台は6本の足で支えるデザインに仕上げました。触れるたびに手に馴染む、心地よい質感を楽しめます。
　内側には、艶やかな「黒天目」釉を施し、外側は透明釉で仕上げました。カップの口縁部分では、「黒天目」と透明釉が交じり合い、豹のような模様が生まれています。
　練り込みによる地層のような同心円状の模様がぐるりとカップを一周する姿を、大地が静かに鼓動する様に見立て、「大地の鼓動」と名付けました。
　大地の息吹を掌に収めたようなこのカップで、心落ち着くコーヒータイムをお楽しみください。","coffee_cup","直径：約9.0cm (取っ手を除く)、11cm (取っ手込み)
高さ：約6.2cm
容量：約150cc (8割注水時)
重さ：194
","9.0","11.0","6.2","194","150","白土、赤土、黒土","外側：透明釉
内側：黒天目",,"1","monotone","https://minne.com/items/42299435","https://www.instagram.com/p/DF5br47Tkg3/","2024-12-22","2025-10-16 12:54:26","1"
"37","ホワイトタイガー","玉サボテン様練り込みコーヒーカップ「ホワイトタイガー」","　白土と黒土を練り込み、玉サボテンからインスピレーションを得た模様を彫り込んだコーヒーカップです。
　側面にはゆるやかに膨らんだ六角形の模様を施し、6本の足で支える高台が個性的なデザインを引き立てます。六角形の膨らみは、手にしっくりと馴染み、心地よい質感を楽しめます。
　内側には「うのふ」という真っ白い釉薬を使用し、外側には「亀甲貫入」という、貫入（亀裂模様）が現れる釉薬を掛けています。この亀裂は、一点一点異なる表情を見せ、世界にひとつだけの個性的なカップに仕上がっています。
透明釉の場合は白と黒のコントラストが強く出ますが、この「亀甲貫入」は、素地の色を柔らかく包み込み、白いフィルタを通したような、やわらかい色合いを生み出します。
　その独特の色合いと模様から、「ホワイトタイガー」と名付けました。","coffee_cup","直径：約8.0cm (取っ手を除く)、10.5cm (取っ手込み)
高さ：約8.4cm
容量：約160cc (8割注水時)
重さ：236g
","8.0","10.5","8.4","236","160","白土、黒土","外側：亀甲貫入
内側：うのふ",,"0","monotone",NULL,"https://www.instagram.com/p/DGnhjBXTaRX/","2025-01-05","2025-09-25 00:38:10","1"
"38","鶉帯","部分練り込み小鉢「鶉帯」","　白土と黒土を練り込んだ模様を、帯状にめぐらせた小鉢です。
　その帯模様を中心に、しのぎの技法で六角形の文様を彫り込み、リズムと立体感を加えました。模様を器全体に施すのではなく、あえて帯の部分に集中させることで、洗練された佇まいを意識しています。
　器は4本足でしっかりと自立します。
　本作は電動ろくろではなく、手びねりによって成形しています。そのため、形にわずかな歪みがあり、それがかえって温かみのある有機的な感触を生み出しています。
　鶉の羽を思わせる模様を帯のように器がまとう姿から、「鶉帯（うずらおび）」と名付けました。
　副菜を少し添えたり、お菓子や小物入れとしても楽しめるサイズ感です。","small_bowl","直径：約11.0cm
高さ：約7.5cm
容量：約180cc (8割注水時)
重さ：257g
","11.0","11.0","7.5","257","180","白土、黒土","外側：乳濁
内側：黒天目",,"0","monotone",NULL,"https://www.instagram.com/p/DIWgqjkz3lD/","2025-01-26","2025-09-25 01:20:54","1"
"39","凪の時間","玉サボテン様練り込みコーヒーカップ「凪の時間」","　穏やかな水面を思わせる、白と黒の静かなボーダー模様が印象的なコーヒーカップです。
　白土と黒土の二色の粘土を練り合わせ、さらに側面をしのいで、六角形の模様を削り出しました。この模様は玉サボテンの陵を思わせるように、柔らかくふくらんでいます。
　練り込みでは複雑な模様が現れることも多いのですが、このカップは穏やかな水平線になりました。
　その落ち着いた佇まいから、『凪の時間』と名付けました。
　コーヒーを飲みながら静かに流れる自分だけの時間を楽しむ。そんなコーヒーカップです。","coffee_cup","直径：約9.5cm (取っ手を除く)、約12.5cm (取っ手を含む)
高さ：約7.0cm
容量：約160cc (8割注水時)
重さ：232g","9.5","12.5","7.0","232","160","白土、黒土","外側：透明釉
内側：黒天目",,"1","monotone","https://minne.com/items/43768529","https://www.instagram.com/p/DN6_gUEk4iB/","2025-01-26","2025-10-20 13:14:31","1"
"40","墨流し","玉サボテン様練り込みコーヒーカップ「墨流し」","　白土と黒土を練り込んで成形し、玉サボテンをモチーフに六角形のふくらみを彫り込んだ、力強さとやわらかさを併せ持つコーヒーカップです。
　外側には、細やかな貫入が入る貫入性志野釉を施しました。白土と黒土のコントラストは、釉薬の効果により、白はややクリーム色に、黒はグレーがかった柔らかな色調へと変化し、全体に穏やかな表情をもたらしています。
　本体は短い円柱形で、6本の低い力強い脚でカップを支えています。安定感と同時に、独自の存在感を演出します。
　内側には黒天目釉を使用しました。縁の部分では2種類の釉薬が重なり合って泡状の模様が生まれています。流れるような練り込み模様と、しのぎによって生まれた有機的な歪みの線。
　その見た目が、日本の伝統的な染色技法「墨流し」を思わせることから、この作品に「墨流し」という銘をつけました。						","coffee_cup","直径：約9.0cm (取っ手を除く)、約11.5cm (取っ手を含む)
高さ：約7.0cm
容量：約180cc (8割注水時)
重さ：241g						","9.0","11.5","7.0","241","180","白土、黒土						","外側：貫入性志乃
内側：黒天目						","						","1","monotone","https://minne.com/items/42866956","https://www.instagram.com/p/DIyqnpJzqjd/","2025-02-16","2025-10-23 15:25:35","1"
"42","冬のモモンガ","部分練り込みコーヒーカップ「冬のモモンガ」","　このカップでは、練り込みとしのぎの技法を部分的に取り入れています。
　白土と黒土を組み合わせた練り込みは、側面の中央付近にとどめ、その部分を中心に、六角形を描くように、しのぎを加えました。あえて装飾を一部にとどめることで、控えめな印象となっています。
　その上からは、厚みのある「亀甲貫入」の釉薬を掛けています。この釉薬により、白黒の練り込み模様は乳白色のヴェールに包まれるように柔らかくぼやけ、しのぎの稜線も滲むようにやさしく変化します。
　高台の代わりに3本の小さな足をつけており、まるで小動物がちょこんと身をかがめているよう。その姿が、冬毛にくるまり木のうろで静かに休むモモンガを思わせることから、「冬のモモンガ」と名付けました。
　日常のひとときに、森の中の小さな物語をそっと添えてくれるような、やさしい一品です。","coffee_cup","直径：約8.0cm (取っ手を除く)、約11.0cm (取っ手を含む)
高さ：約8.0cm
容量：約150cc (8割注水時)
重さ：245g","8.0","11.0","8.0","245","150","白土、黒土","外側：亀甲貫入
内側：黒天目",,"1","monotone","https://minne.com/items/43197758","https://www.instagram.com/p/DKpPIkQzhj4/","2025-02-16","2025-10-20 10:55:11","1"
"43","単調作業","サボテン金剛丸様練り込み中鉢「単調作業」","　白土と黒土を練り込み成形し、サボテン「金剛丸」のいぼをモチーフに、ピラミッド状の模様を側面全体に彫り込んだ中鉢です。
　練り込みの縞模様を削ることで、それぞれのピラミッドに等高線のような文様が浮かび上がりました。しかし、このピラミッド、実に360個。  ひたすら彫るという、まさに「単調作業」……眠気に誘われながらも、一つひとつ丁寧に刻みました。
　その甲斐あってか、この中鉢には独特のリズムと表情が生まれたように思います。銘は、制作過程からそのまま「単調作業」と名付けました。","medium_bowl","直径：約17.0cm
高さ：9.5cm
容量：約1,000cc (8割注水時)
重さ：850g","17.0","17.5","9.5","850","1","白土、黒土","外側：3号透明
内側：黒天目",,"0","monotone",NULL,"https://www.instagram.com/p/DJMrjMJzm_P/","2025-03-22","2025-09-24 00:56:36","1"
"44","イソギンチャク","玉サボテン様練り込み中鉢「イソギンチャク」","　たっぷり900cc入る中鉢。
　どっしりとした安定感があり、食卓の主役として存在感を放ちます。
　白土と黒土を練り込んだ後、しのぎの技法で表面を削っています。この削りにより、模様はさらに複雑にゆがみ、有機的な表情に仕上がりました。削りのモチーフは玉サボテン。六角形のパターンは、それぞれが緩やかに盛り上がり、独特の手触りと立体感を生み出しています。
　外側は、貫入性志野という釉薬を掛けています。わずかに不透明なこの釉薬は、白土と黒土のコントラストをやわらげ、全体を落ち着いた印象にまとめています。釉薬の特長でもある細かい貫入やピンホールが入ることで、どこか時間を重ねた器のような、静かな趣も感じさせます。また、内側の黒天目釉は、その深い黒が料理を引き立てます。
　高台は9本の足で構成されており、器を裏返すと、まるでイソギンチャクのような姿に。銘はそのまま「イソギンチャク」としました。","medium_bowl","直径：約16.0cm
高さ：約9.7cm
容量：約900cc (8割注水時)
重さ：936g","16.0","16.0","9.7","936","900","白土、黒土","外側：貫入性志野
内側：黒天目",,"0","monotone",NULL,"https://www.instagram.com/p/DJRtW5szHrx/","2025-04-13","2025-09-24 00:38:12","1"
"45","炎芯雪うずら","部分練り込みデミタスカップ「炎芯雪うずら」","　練り込みとしのぎの技法を組み合わせたコーヒーカップです。
　白土と黒土を練り合わせていますが、その模様をカップの半分ほどに抑えました。模様のある部分と素地の白土部分が大きく二分され、ひとつの器に異なるふたつの表情が共存しています。
　さらに、カップの側面全体には、サボテンの金剛丸をモチーフにしたピラミッド状の模様を彫り込んでおり、独特な立体感を楽しめます。
　外側には「貫入性志野」という釉薬を使用。貫入と、黒土の上に浮かぶ小さな凹凸が、まるで永く風雪に晒されてきたかのような風合いを生み出しています。内側には「赤結晶」という釉薬を施しました。ゆらめく深紅の色彩は、雪の中に灯る「炎の芯」を思わせます。 
　外側の練り込み模様が、雪景色にたたずむうずらの姿を連想させることと合わせ、銘を「炎芯雪うずら」としました。","demitasse_cup","直径：約8.0cm (取っ手を除く)、約10.5cm (取っ手を含む)
高さ：約5.5cm
容量：約125cc (8割注水時)
重さ：167g","8.0","10.5","5.5","167","125","白土、黒土","外側：貫入性志野
内側：赤結晶",,"0","multicolour",NULL,,"2025-03-09","2025-10-15 00:35:06","1"
"50","うっかりヒョウモンダコ","玉サボテン様練り込みコーヒーカップ「うっかりヒョウモンダコ」","　深海に棲む猛毒のヒョウモンダコをモチーフにした作品です。
　ヒョウモンダコは猛毒をもち、危険を知らせるために体表に鮮やかな青い輪紋を浮かび上がらせます。その姿を表現するために鮮やかなトルコブルーの粘土を使いましたが、少し落ち着いた雰囲気を出そうと貫入性志野を掛けたところ、警告色がぼんやりとした印象になりました。貫入性志野の特性をよく考えていれば、この釉薬を選ばなかったのに・・・ということで、銘は「うっかりヒョウモンダコ」にしました。
　トルコブルー、ライトブラウン、ダークブラウンの3色の粘土を練り込み、カップの側面全体に六角形の模様を彫り込んでいます。高台は6本の足で表現しました。
　こんな「うっかり」したコーヒーカップですが、毒はないので安心して毎日のコーヒーのお供にしてあげてください。","coffee_cup","直径：約8.5cm (取っ手を除く)、約11.0cm (取っ手を含む)
高さ：約7.0cm
容量：約150cc (8割注水時)
重さ：202g","8.5","11.0","7.0","202","150","カラー粘土：トルコブルー、ライトブラウン、ダークブラウン","外側：貫入性志野
内側：黒天目",,"1","multicolour","https://minne.com/items/43841419","https://www.instagram.com/p/DOV3SO9kVUV/","2025-06-01","2025-09-24 00:57:47","1"
"51","島の精霊","玉サボテン様練り込みデミタスカップカップ「島の精霊」","　練り込みとしのぎの技法を組み合わせた、デミタスサイズのコーヒーカップです。
　黒土と、比率を抑えた白土の練り込みにより、黒い背景に白の流線が浮かび上がります。
　カップの側面には玉サボテンをイメージしてゆるやかに膨らんだ六角形を彫り込んでいます。このしのぎによって、器の表面に細かな凹凸が生まれます。
白の流線は、しのぎの影響を受けて変化します。凹凸を避けるように曲がったり、途中で切り離されたり、時に中洲のように浮かんで見える箇所もあります。
　高台は6本の脚で構成しました。やや内側に湾曲した脚は、大地を鷲掴みにしているような印象を与えます。
　側面の模様が一見すると顔のようにも見えることがあります。その表情と器全体の雰囲気から、「島の精霊」と銘を付けました。","demitasse_cup","直径：約7.5cm (取っ手を除く)、約10.0cm (取っ手を含む)
高さ：約7.5cm
容量：約125cc (8割注水時)
重さ：192g","7.5","10.0","7.5","192","125","カラー粘土白25%＋黒75%","外側：3号透明
内側：黒天目",,"1","monotone","https://minne.com/items/43197854","https://www.instagram.com/p/DL2b9keTIVn/","2025-06-01","2025-09-22 12:48:13","1"
"52","雪仔虎","玉サボテン様練り込みコーヒーカップ「雪仔虎」","　白土と黒土を練り込んで成形したコーヒーカップです。
　側面には玉サボテンから着想を得た六角形の文様を彫り込みました。六角形はゆるやかに膨らみ、手に心地よく馴染みます。高台は6本の足になっています。ちょっと太めに作ってあるので、安定してカップを支えてくれます。
　内側には真っ黒い「黒天目」を、外側には貫入が現れる「貫入性志野」を釉掛けしました。「貫入性志野」により練り込みの白土と黒土のコントラストが和らぎ、落ち着いた風合いになっています。
　白と黒の模様がホワイトタイガーを思わせ、さらに太めの足は大きな動物の子供時代を想起させたので、銘を「雪仔虎」としました。","coffee_cup","直径：約9.0cm (取っ手を除く)、12.0cm (取っ手込み)
高さ：約7.5cm
容量：約150cc (8割注水時)
重さ：222g","9.0","12.0","7.5","222","150","カラー粘土の白75%＋黒25%","外側：貫入性志野
内側：黒天目",,"1","monotone","https://minne.com/items/43714942","https://www.instagram.com/p/DNlXNHnTvkM/","2025-06-01","2025-10-22 21:19:15","1"
